frame_id,density,risk
1,0.0925,HIGH
2,0.095,HIGH
3,0.09,HIGH
4,0.09,HIGH
5,0.095,HIGH
6,0.0975,HIGH
7,0.09,HIGH
8,0.0875,HIGH
9,0.0875,HIGH
10,0.09,HIGH
11,0.09,HIGH
12,0.09,HIGH
13,0.085,HIGH
14,0.0925,HIGH
15,0.085,HIGH
16,0.0825,HIGH
17,0.085,HIGH
18,0.0875,HIGH
19,0.0875,HIGH
20,0.085,HIGH
21,0.08,HIGH
22,0.08,HIGH
23,0.0825,HIGH
24,0.0825,HIGH
25,0.085,HIGH
26,0.0875,HIGH
27,0.0925,HIGH
28,0.0875,HIGH
29,0.0875,HIGH
30,0.0875,HIGH
31,0.0875,HIGH
32,0.08,HIGH
33,0.08,HIGH
34,0.0825,HIGH
35,0.0775,HIGH
36,0.0825,HIGH
37,0.085,HIGH
38,0.085,HIGH
39,0.09,HIGH
40,0.0875,HIGH
41,0.0875,HIGH
42,0.08,HIGH
43,0.0875,HIGH
44,0.0825,HIGH
45,0.085,HIGH
46,0.0875,HIGH
47,0.09,HIGH
48,0.0875,HIGH
49,0.0925,HIGH
50,0.0975,HIGH
51,0.1,HIGH
52,0.0975,HIGH
53,0.0925,HIGH
54,0.095,HIGH
55,0.0875,HIGH
56,0.095,HIGH
57,0.0875,HIGH
58,0.0925,HIGH
59,0.095,HIGH
60,0.095,HIGH
61,0.0925,HIGH
62,0.0925,HIGH
63,0.095,HIGH
64,0.095,HIGH
65,0.09,HIGH
66,0.0925,HIGH
67,0.1,HIGH
68,0.0875,HIGH
69,0.0925,HIGH
70,0.0925,HIGH
71,0.0975,HIGH
72,0.0975,HIGH
73,0.1,HIGH
74,0.1025,HIGH
75,0.105,HIGH
76,0.1025,HIGH
77,0.1,HIGH
78,0.1025,HIGH
79,0.1025,HIGH
80,0.1,HIGH
81,0.095,HIGH
82,0.0925,HIGH
83,0.1025,HIGH
84,0.095,HIGH
85,0.0925,HIGH
86,0.095,HIGH
87,0.0925,HIGH
88,0.09,HIGH
89,0.095,HIGH
90,0.095,HIGH
91,0.0975,HIGH
92,0.0975,HIGH
93,0.0925,HIGH
94,0.09,HIGH
95,0.085,HIGH
96,0.0875,HIGH
97,0.09,HIGH
98,0.0875,HIGH
99,0.0925,HIGH
100,0.0925,HIGH
101,0.09,HIGH
102,0.09,HIGH
103,0.0925,HIGH
104,0.0925,HIGH
105,0.09,HIGH
106,0.0875,HIGH
107,0.085,HIGH
108,0.0875,HIGH
109,0.08,HIGH
110,0.0825,HIGH
111,0.0825,HIGH
112,0.0825,HIGH
113,0.0825,HIGH
114,0.08,HIGH
115,0.0825,HIGH
116,0.08,HIGH
117,0.075,HIGH
118,0.075,HIGH
119,0.0675,HIGH
120,0.075,HIGH
121,0.08,HIGH
122,0.085,HIGH
123,0.0825,HIGH
124,0.0875,HIGH
125,0.0925,HIGH
126,0.09,HIGH
127,0.0925,HIGH
128,0.0825,HIGH
129,0.085,HIGH
130,0.09,HIGH
131,0.085,HIGH
132,0.0825,HIGH
133,0.08,HIGH
134,0.0775,HIGH
135,0.0725,HIGH
136,0.075,HIGH
137,0.075,HIGH
138,0.075,HIGH
139,0.0825,HIGH
140,0.0725,HIGH
141,0.08,HIGH
142,0.0725,HIGH
143,0.075,HIGH
144,0.075,HIGH
145,0.0775,HIGH
146,0.0725,HIGH
147,0.075,HIGH
148,0.075,HIGH
149,0.075,HIGH
150,0.075,HIGH
151,0.075,HIGH
152,0.075,HIGH
153,0.0725,HIGH
154,0.0725,HIGH
155,0.0725,HIGH
156,0.0775,HIGH
157,0.075,HIGH
158,0.0725,HIGH
159,0.07,HIGH
160,0.0725,HIGH
161,0.075,HIGH
162,0.07,HIGH
163,0.0725,HIGH
164,0.0725,HIGH
165,0.0725,HIGH
166,0.075,HIGH
167,0.075,HIGH
168,0.075,HIGH
169,0.075,HIGH
170,0.075,HIGH
171,0.0725,HIGH
172,0.0725,HIGH
173,0.07,HIGH
174,0.0725,HIGH
175,0.0725,HIGH
176,0.0725,HIGH
177,0.0725,HIGH
178,0.0725,HIGH
179,0.0725,HIGH
180,0.0725,HIGH
181,0.0725,HIGH
182,0.075,HIGH
183,0.0675,HIGH
184,0.07,HIGH
185,0.0675,HIGH
186,0.0675,HIGH
187,0.07,HIGH
188,0.07,HIGH
189,0.0775,HIGH
190,0.075,HIGH
191,0.075,HIGH
192,0.075,HIGH
193,0.0775,HIGH
194,0.08,HIGH
195,0.08,HIGH
196,0.075,HIGH
197,0.0825,HIGH
198,0.08,HIGH
199,0.085,HIGH
200,0.0825,HIGH
201,0.0825,HIGH
202,0.0825,HIGH
203,0.08,HIGH
204,0.0825,HIGH
205,0.0775,HIGH
206,0.08,HIGH
207,0.08,HIGH
208,0.0725,HIGH
209,0.07,HIGH
210,0.0675,HIGH
211,0.065,HIGH
212,0.07,HIGH
213,0.065,HIGH
214,0.075,HIGH
215,0.07,HIGH
216,0.0725,HIGH
217,0.0725,HIGH
218,0.0725,HIGH
219,0.0775,HIGH
220,0.08,HIGH
221,0.0775,HIGH
222,0.07,HIGH
223,0.065,HIGH
224,0.0625,HIGH
225,0.0625,HIGH
226,0.0675,HIGH
227,0.0675,HIGH
228,0.065,HIGH
229,0.065,HIGH
230,0.07,HIGH
231,0.075,HIGH
232,0.0775,HIGH
233,0.075,HIGH
234,0.07,HIGH
235,0.07,HIGH
236,0.065,HIGH
237,0.07,HIGH
238,0.07,HIGH
239,0.0675,HIGH
240,0.0675,HIGH
241,0.0675,HIGH
242,0.065,HIGH
243,0.065,HIGH
244,0.0675,HIGH
245,0.065,HIGH
246,0.06,HIGH
247,0.065,HIGH
248,0.065,HIGH
249,0.06,HIGH
250,0.06,HIGH
251,0.065,HIGH
252,0.065,HIGH
253,0.065,HIGH
254,0.0725,HIGH
255,0.0725,HIGH
256,0.0725,HIGH
257,0.075,HIGH
258,0.0725,HIGH
259,0.0725,HIGH
260,0.07,HIGH
261,0.0675,HIGH
262,0.065,HIGH
263,0.065,HIGH
264,0.07,HIGH
265,0.0675,HIGH
266,0.07,HIGH
267,0.07,HIGH
268,0.0725,HIGH
269,0.0725,HIGH
270,0.0725,HIGH
271,0.07,HIGH
272,0.0675,HIGH
273,0.07,HIGH
274,0.0725,HIGH
275,0.07,HIGH
276,0.075,HIGH
277,0.075,HIGH
278,0.08,HIGH
279,0.08,HIGH
280,0.0775,HIGH
281,0.075,HIGH
282,0.0775,HIGH
283,0.08,HIGH
284,0.065,HIGH
285,0.07,HIGH
286,0.07,HIGH
287,0.0675,HIGH
288,0.0625,HIGH
289,0.0625,HIGH
290,0.065,HIGH
291,0.0725,HIGH
292,0.0725,HIGH
293,0.0775,HIGH
294,0.0825,HIGH
295,0.075,HIGH
296,0.0775,HIGH
297,0.0775,HIGH
298,0.075,HIGH
299,0.08,HIGH
300,0.075,HIGH
301,0.0725,HIGH
302,0.07,HIGH
303,0.0725,HIGH
304,0.0725,HIGH
305,0.0675,HIGH
306,0.065,HIGH
307,0.075,HIGH
308,0.0775,HIGH
309,0.07,HIGH
310,0.0775,HIGH
311,0.065,HIGH
312,0.065,HIGH
313,0.0725,HIGH
314,0.0675,HIGH
315,0.0625,HIGH
316,0.07,HIGH
317,0.0725,HIGH
318,0.0675,HIGH
319,0.07,HIGH
320,0.0725,HIGH
321,0.0775,HIGH
322,0.075,HIGH
323,0.0775,HIGH
324,0.0725,HIGH
325,0.0675,HIGH
326,0.0675,HIGH
327,0.0725,HIGH
328,0.07,HIGH
329,0.0725,HIGH
330,0.0775,HIGH
331,0.0725,HIGH
332,0.07,HIGH
333,0.07,HIGH
334,0.0825,HIGH
335,0.08,HIGH
336,0.0775,HIGH
337,0.075,HIGH
338,0.075,HIGH
339,0.0825,HIGH
340,0.0825,HIGH
341,0.0825,HIGH
